frame,track_id,x1,y1,x2,y2,confidence,class,total_cars_in_frame,fecha,hora,id,sitio,timestamp,dia,dia_num,temperatura,humedad,viento,lluvia,lugar,trafico_muy_intenso,trafico_denso,trafico_moderado,trafico_ligero,sin_trafico
9,30,716,212,743,229,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,38,683,569,726,623,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,39,557,160,587,181,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,43,430,160,470,178,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,48,763,220,787,237,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,50,613,148,649,170,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
9,51,470,170,510,188,0.2949559688568115,car,11,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
10,3,295,644,400,690,0.2949559688568115,car,10,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
10,4,693,183,725,212,0.2949559688568115,car,10,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
10,24,679,148,715,167,0.2949559688568115,car,10,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
10,30,714,211,742,228,0.2949559688568115,car,10,2025-11-09,17,angamos_2025-11-09_17-57,angamos,2025-11-09T17:57:03-05:00,sunday,6,18,83,26,,angamos,0,1,0,0,0
